TransactionID,Milk,Bread,Eggs,Cheese,Rice,Pasta/Noodles,Shampoo,Detergent,Chips,Chocolate,Juice,Vegetables,Fruits
1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,1,0,0,1,0,0,0,0,1,1,1,1,1
3,0,0,1,0,0,0,0,0,0,0,1,1,1
4,1,1,1,1,0,1,1,1,1,1,1,0,1
5,1,0,0,0,0,0,0,0,0,0,0,1,1
6,1,0,0,0,0,0,0,0,0,1,0,1,1
7,0,0,0,0,0,1,1,0,1,1,1,0,0
8,1,0,1,0,0,0,0,1,0,0,0,1,1
9,0,0,1,1,1,0,1,0,1,0,1,1,1
10,1,1,1,0,0,0,0,0,0,0,0,0,0
11,1,1,1,0,1,0,0,1,0,0,0,1,1
12,0,0,0,0,1,0,1,1,0,1,0,1,1
13,0,0,1,0,1,0,0,0,0,0,0,1,0
14,0,1,1,0,0,1,0,1,1,1,0,1,1
15,0,0,0,0,0,0,0,0,0,0,0,1,1
16,0,1,0,0,0,1,1,1,1,1,1,0,0
17,0,1,1,1,1,1,1,1,1,1,1,0,0
18,1,0,1,0,0,1,0,0,0,0,0,1,1
19,1,1,1,1,1,0,1,1,1,1,1,1,1
20,0,0,0,0,0,1,1,1,1,1,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,1,1
22,0,0,1,0,1,0,1,1,0,0,0,1,1
23,1,0,0,0,1,0,1,0,0,0,0,1,0
24,1,0,1,0,1,0,1,1,0,0,0,1,1
25,1,1,1,1,1,1,1,1,0,0,0,1,1
26,1,1,1,1,0,0,0,0,0,0,1,1,1
27,1,0,1,0,0,0,0,0,1,0,0,1,1
28,1,1,0,1,0,0,0,0,1,1,1,0,1
29,0,1,1,0,1,0,1,1,1,1,0,1,1
30,1,1,1,0,1,0,0,1,0,0,0,1,1
31,0,0,1,0,0,0,1,1,1,1,1,1,1
32,0,1,1,1,0,1,1,1,1,1,1,0,0
33,0,0,0,1,1,1,1,1,0,0,0,0,0
34,0,0,1,0,1,0,1,1,0,0,0,1,1
35,0,0,1,0,0,0,1,0,0,0,1,1,1
36,1,1,1,0,0,0,0,0,0,0,0,1,1
37,1,0,1,0,0,1,0,0,1,1,0,1,1
38,0,0,0,0,0,1,1,0,1,1,0,1,1
39,1,0,1,0,0,0,0,0,0,0,0,1,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,0,1,0,0,1,0,0,1,1,1
42,1,0,1,0,1,1,1,1,1,0,0,1,1
43,0,0,0,0,0,0,1,1,1,0,1,1,1
44,0,0,1,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0,0,0,0,0,0,0,1,0,1,1,1,1
47,1,1,1,1,1,0,0,1,0,0,0,1,1
48,1,1,1,0,1,1,1,1,1,1,0,1,0
49,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,1,0,1,0,1,1,0,0,0,1,1
51,0,0,0,0,1,0,1,1,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,1,0,1,0,0,0,1,0,0,1,1
54,0,0,1,0,1,1,1,1,1,0,1,1,1
55,1,0,1,0,1,0,1,1,0,0,1,1,0
56,0,0,0,0,0,0,0,0,1,1,1,0,0
57,1,0,1,0,0,0,1,1,1,1,1,1,1
58,0,0,0,0,1,1,0,0,0,0,0,1,1
59,0,0,0,0,1,0,0,1,0,0,0,1,1
