TransactionID,Rural,Urban,Suburban,Milk,Bread,Eggs,Cheese,Rice,Pasta/Noodles,Shampoo,Detergent,Chips,Chocolate,Juice,Vegetables,Fruits
1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
4,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
7,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
8,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
9,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1
10,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1
12,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1
13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
14,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0
17,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
18,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
19,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
20,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0
21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
22,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
23,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
24,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1
25,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1
26,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
27,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
28,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1
29,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1
30,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1
31,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
32,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0
33,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
34,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
35,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
36,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
37,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1
38,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
39,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
40,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1
42,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1
43,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
44,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
47,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1
48,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0
49,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1
51,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
54,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1
55,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
56,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
57,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1
58,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
59,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
60,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
61,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
63,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0
64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
